,rank,Name,spotify_id,Country
270,70,Galway Girl,0afhq8XCExXpqazXczTSve,Australia
271,71,Candy Paint,32lItqlMi4LBhb4k0BaSaC,Australia
272,72,Look At Me!,4ARPvK8DHLwt4oX65ZAFMw,Australia
273,73,Hey Ya!,2PpruBYCo4H7WOBJ7Q2EwM,Australia
274,74,Moonlight,0JP9xo3adEtGSdUEISiszL,Australia
275,75,Better,2OpBganfGk2GVdSlRdxzaX,Australia
276,76,Glorious (feat. Skylar Grey),0CokSRCu5hZgPxcZBaEzVE,Australia
277,77,These Days,20ZP3Om9DvDazXrNUC7WM2,Australia
278,78,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,Australia
279,79,Issues,0xG0SHshCStMEyNbNC5d4k,Australia
280,80,Without Me,5p7ujcrUXASCNwRaWNHR1C,Australia
281,81,Sweet but Psycho,25sgk305KZfyuqVBQIahim,Australia
282,82,Shallow,2VxeLyX666F8uXCJ0dZF8B,Australia
283,83,ocean eyes,2uIX8YMNjGMD7441kqyyNU,Australia
284,84,Bohemian Rhapsody - 2011 Mix,4u7EnebtmKWzUH433cf5Qv,Australia
285,85,1950,0CZ8lquoTX2Dkg7Ak2inwA,Australia
286,86,Party In The U.S.A.,3E7dfMvvCLUddWissuqMwr,Australia
287,87,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Australia
288,88,Can't Hold Us - feat. Ray Dalton,3bidbhpOYeV4knp8AIu8Xn,Australia
289,89,Waiting,0TBFJanfWaByPIi3f7RR82,Australia
290,90,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,Australia
291,91,Sorry Not Sorry,25C5CowdsfXld2jJanbiex,Australia
292,92,Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Australia
293,93,when the party's over,14JzyD6FlBD5z0wV5P07YI,Australia
294,94,Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,Australia
295,95,Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Australia
296,96,Everybody Dies In Their Nightmares,3GVkPk8mqxz0itaAriG1L7,Australia
297,97,Chameleon,4pbLMXPtU8ruMCMPmQNY4q,Australia
298,98,All The Stars (with SZA),12SJpYZEdj4kzWZ8FPFg4Y,Australia
299,99,Passionfruit,5mCPDVBb16L4XQwDdbRUpz,Australia
300,0,Shape of You,7qiZfU4dY1lWllzX7mPBI3,Belgium
301,1,Believer,0CcQNd8CINkwQfe1RDtGV6,Belgium
302,2,Perfect,0tgVpDi06FyKpA1z0VMD4v,Belgium
303,3,Wonderwall - Remastered,5qqabIl2vWzo9ApSC317sa,Belgium
304,4,Africa,2374M0fQpWi3dLnB54qaLX,Belgium
305,5,Thunder,0tKcYR2II1VCQWT79i5NrW,Belgium
306,6,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,Belgium
307,7,SAD!,35ieKju5aLWFN5UgfJ27mL,Belgium
308,8,Moonlight,0JP9xo3adEtGSdUEISiszL,Belgium
309,9,I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Belgium
310,10,New Rules,2ekn2ttSfGqwhhate0LSR0,Belgium
311,11,Can't Hold Us - feat. Ray Dalton,3bidbhpOYeV4knp8AIu8Xn,Belgium
312,12,Youngblood,2iUXsYOEPhVqEBwsqP70rE,Belgium
313,13,Djadja,3XfnssSD9HMQ9LhVOJvXTE,Belgium
314,14,One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Belgium
315,15,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Belgium
316,16,Something Just Like This,6RUKPb4LETWmmr3iAEQktW,Belgium
317,17,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Belgium
318,18,These Days,20ZP3Om9DvDazXrNUC7WM2,Belgium
319,19,God's Plan,2VWbHHhWnMzKWPUs4IEEW9,Belgium
320,20,Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Belgium
321,21,Lucid Dreams,0X8DcetL926BYiPJYstJTc,Belgium
322,22,Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Belgium
323,23,One Dance,1xznGGDReH1oQq0xzbwXa3,Belgium
324,24,2002,2BgEsaKNfHUdlh97KmvFyo,Belgium
325,25,FRIENDS,08bNPGLD8AhKpnnERrAc6G,Belgium
326,26,Without You (feat. Sandro Cavazza),6Pgkp4qUoTmJIPn7ReaGxL,Belgium
327,27,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Belgium
328,28,Better Now,7dt6x5M1jzdTEt8oCbisTK,Belgium
329,29,High Hopes,1rqqCSm0Qe4I9rUvWncaom,Belgium
330,30,All of Me,2q6tgiA9tpb6DMguABwCWE,Belgium
331,31,In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Belgium
332,32,Unforgettable,1F2HXIJrE2Xn81OzT2zZvW,Belgium
333,33,Silence,7vGuf3Y35N4wmASOKLUVVU,Belgium
334,34,Be Alright,2H4gf1wLxvYreMj1jcaN0k,Belgium
335,35,IDGAF,76cy1WJvNGJTj78UqeA5zr,Belgium
336,36,Thinking out Loud,1Slwb6dOYkBlWal1PGtnNg,Belgium
337,37,Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,Belgium
338,38,Solo Dance,6HUnnBwYZqcED1eQztxMBN,Belgium
339,39,More Than You Know,3PEgB3fkiojxms35ntsTgs,Belgium
