,Track Name,Artist,Count,Streams,Position,spotify_id
523,Escápate Conmigo - Remix,Wisin,20,6563,21,5P45f6HakSHDwdFj5dO5K5
524,Llegaste Tú,CNCO,20,4431,59,6tT4Ks1N04Ut0lSQ3xjSaZ
525,Encantadora - Remix,Yandel,20,3208,41,0EpFfFZpCuqYFzHvxOtrZS
526,Casualidad,Nacho,20,3388,61,08rwXPBZ2DHOwnL7xaz044
527,Galway Girl,Ed Sheeran,20,2177,56,0afhq8XCExXpqazXczTSve
528,Cuerpo en Venta,Noriel,20,6230,7,2B94bbI1a4LyBpK1439oP7
529,"Yo x Ti, Tu x Mi",ROSALÍA,20,9988,24,7BlBVFwvbWvcwNcUarQmjk
530,Fuego,Juanes,20,2489,54,0mwPE0lPOgnWf2bo14xedJ
531,Tu Peor Error,Darell,20,2618,99,31om1lcOHbL5Iyxt4g5Hnf
532,Havana,Camila Cabello,20,5944,28,0ofbQMrRDsUaVKq2mGLEAb
533,Cold Water (feat. Justin Bieber & MØ),Major Lazer,20,3854,22,6DNtNfH8hXkqOX1sjqmI7p
534,"Qual Bumbum Mais Bate, Qual Bumbum Mais Pula",MC WM,20,1707,77,4eZg3l8x5aMvgwsRHcZuIC
535,Quiero Volver,TINI,20,3305,74,1jcAZRfufvi67KWnwRmizE
536,"Simple (feat. Cosculluela, Nengo Flow & Baby Rasta y Gringo)",DJ Luian,20,1220,109,15kZDQoTtpkya2kG8ZPJoi
537,Cold,Maroon 5,20,1997,60,5NNlUMcOEOdoOIwwaWXv0k
538,Espina,Anuel AA,20,2062,132,5V83X8DPJ1CxO13xltF8cg
539,"Si Me Muero (feat. Farruko, Lary Over, Nengo Flow & Darell)",Pepe Quintana,20,1659,109,7gLApUvGknNvpqeRtgp7S9
540,Unica - Remix,Ozuna,20,5270,40,5Sv1rKKMX1yl9kfJ2HTluk
541,Adicto (with Anuel AA & Ozuna),Tainy,19,9877,1,3jbT1Y5MoPwEIpZndDDwVq
542,Machika,J Balvin,19,6790,32,4vKltMFviBKMdhYu3FDLY0
543,Manicomio,Cosculluela,19,2443,53,3n58u3LOFw8mITLvfPvQBz
544,De las 2 (feat. Bad Bunny & Arcángel),Trap Capos,19,1980,102,4DS7HoqrKq1dDjeYOKBlu9
545,Mami,Piso 21,19,4431,85,3bDD7GGvIzAZeHz2TOYD3A
546,Dile la Verdad,The Rudeboyz,19,7802,38,6qP73DRFGojLuIk1siIhNE
547,Te Vas,Ozuna,19,2100,58,2twUPIYOTqVivev47pf7bU
548,Mine,Bazzi,19,6279,35,6tHWl8ows5JOZq9Yfaqn3M
549,Hechicera,Lucas Sugo,19,9873,29,7GuDL7idAKh36gXqpRq6I2
550,Indeciso,Reik,19,9477,38,59s0s39NFWScuHDbHytI14
551,La Respuesta,Becky G,19,4054,83,2fOjendzUzepHwR9QrVyYF
552,changes,XXXTENTACION,19,6415,23,7AFASza1mXqntmGtbxXprO
553,Te Quemaste,Manuel Turizo,19,8358,19,4fj7e6Tc48Bmomwyz2Z2XC
554,Natural,Imagine Dragons,19,3816,73,2FY7b99s15jUprqC0M5NCT
555,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,19,2651,53,3DXncPQOG4VBw3QHh3S817
556,DJ No Pare,Justin Quiles,19,3739,102,7DfDNDtQTz4Jda9Y4rBOVH
557,Te Soñé De Nuevo,Ozuna,19,9101,29,5s8LepdwU0THzpd0M7nLsa
558,Latina (feat. Maluma),Reykon,19,3590,95,00Ia46AgCNfnXjzgH8PIKH
559,Aquecimento das Potrancas,MC WM,19,2470,79,76Fc23n9Nrs4wULSY58LPc
560,Niña Bonita,Binomio de Oro de América,19,3068,138,1fbRYLGk6VJQheSL5XcFKj
561,No Pare,Yandel,19,1343,125,2HDacpEddhWjYTcADPIEQL
562,Pasado y Presente,Ozuna,19,3003,73,6NPjHwhEG7eQUQBoPFBrnz
563,Qual Bumbum Mais Bate,MC WM,18,1356,121,2AUvXXgYuNFJMCPdhxONfa
564,A las Nueve,No Te Va Gustar,18,1389,131,0uuEqOyKlABOB7hzWKcEeG
565,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dimelo Flow,18,4780,16,684EjRHwNsZQ9hCQxL4NYL
566,Deixa Ela Beijar,Matheus & Kauan,18,1559,124,7q5agbUOzZnVF4Yes3AD7I
567,Zun Da Da,Zion,18,1856,119,5wXUm0vFT7UKV7vG9H8HTt
568,Recuerdos (Remix),Juhn,18,5598,62,2MsIbNboEVduidfmcThA0U
569,Demasiado Loco,Paulo Londra,18,9714,23,1algWk375QvT1XNJJbRsGM
570,Bonita - Remix,J Balvin,18,2897,64,400nZFg9JEXd9DTBJf1PE3
571,Esa Boquita,J Alvarez,18,1317,132,3tWeAH4IYIrxV2jrUk9Ab3
572,Side To Side,Ariana Grande,18,3501,32,4pLwZjInHj3SimIyN9SnOz
573,Hula Hoop,Daddy Yankee,18,2669,52,7BEI30TTNhwnkCyNUDmFrr
574,Fiebre,Ricky Martin,18,2556,59,0oFqlgK2LJ9eMlpGBCmRvf
