,Track Name,Artist,Count,Streams,Position,spotify_id
101,Bubalu,Becky G,59,7088,4,7dNwJbsT0sg1le5kVugGJb
102,Adictiva,Daddy Yankee,58,5496,12,6MJUCumnQsQEKbCy28tbCP
103,Despacito (Featuring Daddy Yankee),Luis Fonsi,58,9625,1,4aWmUDTfIPGksMNLV2rQP2
104,I Feel It Coming,The Weeknd,58,2888,18,5GXAXm5YOmYT0kL5jHvYBt
105,Havana (feat. Young Thug),Camila Cabello,57,4506,8,1rfofaqEpACxVEHIZBJe6W
106,In My Mind,Dynoro,57,1845,62,0E9ZjEAyAwOXZ7wJC0PD33
107,Better Now,Post Malone,56,1824,54,7dt6x5M1jzdTEt8oCbisTK
108,Hey DJ,CNCO,56,4947,6,1XgpK29CGGjZnxPYkiRbh4
109,Mamita,CNCO,55,3203,25,5ojXuKXBYq0apcNucYSDXq
110,Sigo Extrañándote,J Balvin,55,5338,4,0k23rRi1B8ZHrKtzECGoyk
111,Báilame - Remix,Nacho,55,4841,6,3VClLWqNn80Llv0PJOsKgr
112,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Arcangel,55,1574,56,6NSMQFKgjpQb0KkjMDYIK0
113,FRIENDS,Marshmello,55,2742,27,08bNPGLD8AhKpnnERrAc6G
114,Me Dediqué a Perderte,Alejandro Fernandez,54,1805,137,4NUt1fcnO9aQAELBgXq3Kr
115,PPP,Kevin Roldan,54,3829,24,1DcxnVNFAyVl2sDQ646pXS
116,Nena Maldición (feat. Lenny Tavárez),Paulo Londra,54,3267,30,2aMVyJSuDFFL1sTjJnvk7X
117,Te Vi,Piso 21,54,8928,4,059bcIhyc2SBwm6sw2AZzd
118,Solo de Mi,Bad Bunny,54,5714,8,4uP3pUP18ennmz0tb3GphR
119,Amanece,Anuel AA,54,7258,8,1LiN0Z98FkR1t0m8KmLcAH
120,La Modelo,Ozuna,53,1934,51,2SbzdGpOKlH3HIAGTWTbwU
121,Bonita,J Balvin,53,5326,5,693iqPOQvhI7PobtR8CC8v
122,La flaca,Jarabe De Palo,52,1458,109,2LsbizbOeNa4x6qsi2jAMb
123,Si Estuviésemos Juntos,Bad Bunny,52,3134,43,35wvL50xvKpCHEJPxLOLPI
124,Another One Bites The Dust - Remastered 2011,Queen,52,3128,27,5vdp5UmvTsnMEMESIF2Ym7
125,NI BIEN NI MAL,Bad Bunny,52,4302,24,278kSqsZIiYp8p3QjYAqa8
126,Chica Paranormal,Paulo Londra,52,3217,23,2r77vqSZkOktTSgmAOoHsV
127,Mala Mía,Maluma,52,5041,10,62o8KoI44JfN7aYxgTnPvh
128,It Ain't Me (with Selena Gomez),Kygo,52,3877,10,3eR23VReFzcdmS7TYCrhCe
129,Vacaciones,Wisin,51,3171,15,1rXojdsUqqxGj2WCmJGWHP
130,Si Tu Novio Te Deja Sola,J Balvin,51,3054,17,0RFFFGtPn6a58RHY3ccVYX
131,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,50,2612,19,17Fd6Yb7mSbinKG8LoWfFl
132,La Incondicional,Luis Miguel,50,1816,66,6F9yAYUaNbUhdlQyt5uZ3b
133,Nunca Es Suficiente,Los Angeles Azules,50,3885,43,63USmok1OioBzKuWGW9wAg
134,BEBE,6ix9ine,50,6867,3,4KkUjFkcQvGvWekl8RATDn
135,Dancing With A Stranger (with Normani),Sam Smith,50,2125,62,6Qs4SXO9dwPj5GKvVOv8Ki
136,Perderme Contigo,Bacilos,49,3549,57,7mHFWWfVlhqGjeIQ5qt9i2
137,Besándote,Piso 21,49,2371,29,13X0XdLMOdtbXVtAj2ox4h
138,Secreto,Anuel AA,49,9481,1,5W83ErFkO3aKAIS1WMi6u0
139,7 rings,Ariana Grande,49,7028,9,14msK75pk3pA33pzPVNtBF
140,Un Año,Sebastian Yatra,49,7117,9,2vrpcQNg6itmgVZWsNjWe0
141,El Farsante - Remix,Ozuna,49,3413,20,7uYgVgRSgqluZclLS7wpp4
142,Jocelyn Flores,XXXTENTACION,48,4768,8,7m9OqQk4RVRkw9JJdeAw96
143,Middle,DJ Snake,48,2142,30,0g5EKLgdKvNlln7TNqBByK
144,Vuelve,Daddy Yankee,48,4685,8,0gCPvo1GkbtPhMqg5Gbx1K
145,Wolves,Selena Gomez,48,3389,21,0tBbt8CrmxbjRP0pueQkyU
146,Con Calma,Daddy Yankee,48,9836,1,5w9c2J52mkdntKOmRLeM2m
147,Caro,Bad Bunny,48,3424,30,6it15CsDlkqB7N4lF0C1qM
148,In the Name of Love,Martin Garrix,47,3040,13,04DwTuZ2VBdJCCC5TROn7L
149,Explícale (feat. Bad Bunny),Yandel,47,3841,12,1LszjjoVwDDZcWUQbzeDLG
150,Reggaeton,J Balvin,47,4483,21,2D3z17LBMJ2HEHeBFFjTLi
151,Vuelve,Sebastian Yatra,47,1934,77,3wGRfBDRNQb0nFDFrUPvq6
152,Me Mata,Bad Bunny,47,1927,45,2wgDAPgBhFA7pnIbm0YOhP
153,One Dance,Drake,47,2883,15,1xznGGDReH1oQq0xzbwXa3
154,No Te Hagas,Jory Boy,46,1766,52,5hKjEpYrJIJs6uPl7zw6Y6
155,SAD!,XXXTENTACION,46,3529,18,3ee8Jmje8o58CHK66QrVC2
156,El Farsante,Ozuna,46,3425,16,2LW4Zu7FcrwjWm3t5Rv3Oq
