,Track Name,Artist,Count,Streams,Position,spotify_id
88,Ella Quiere Beber - Remix,Anuel AA,60,95652,16,2cYnZNzFRFK0H7vSNxPsUq
89,Calma - Remix,Pedro Capó,60,99602,1,5iwz1NiezX7WWjnCgY5TH4
90,Flaca,Andrés Calamaro,59,30892,147,1p7m9H4H8s0Y7SgRm7j3ED
91,Dura,Daddy Yankee,59,82933,1,2j2fIJGh4PMdXt9ULI5Tlc
92,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,59,99585,12,6stYbAJgTszHAHZMPxWWCY
93,Girls Like You (feat. Cardi B),Maroon 5,59,61030,37,6FRLCMO5TUHTexlWo8ym1W
94,Adan y Eva,Paulo Londra,59,87462,1,132ALUzVLmqYB4UsBj5qD6
95,Que Va,Alex Sensation,59,99661,5,6J1R5wtPXiHiwiPstOSI56
96,Downtown,Anitta,58,97589,6,3Ga6eKrUFf12ouh9Yw3v2D
97,Báilame - Remix,Nacho,58,97881,4,3VClLWqNn80Llv0PJOsKgr
98,Soy Peor,Bad Bunny,58,39632,51,5MT96Zz0ymUJNm8obKZQr0
99,Créeme,KAROL G,58,99903,24,1mT47pKLXUwPYGwB91GcNz
100,Llamame Mas Temprano,Mano Arriba,58,61843,33,5aHJug2wnupoGfgfxRudsk
101,Bella y Sensual,Romeo Santos,58,98852,19,0ERbK7qVqveCaBWIiYCrl3
102,Attention,Charlie Puth,57,61528,40,4iLqG9SeJSnt0cSPICSjxv
103,Mi Gente,J Balvin,57,99427,1,2rb5MvYT7ZIxbKW5hfcHx8
104,Juntos a la Par,Pappo,57,37012,114,1Ig4pCPanhzXl7C86MmBUc
105,Sensualidad,Bad Bunny,57,93145,1,5hcisvFMidkMJlElTO9Qmw
106,Hijo De La Noche,Duki,57,93705,7,2p1AlnJxp15v7ohNuLwjbl
107,Shallow,Lady Gaga,57,92711,19,2VxeLyX666F8uXCJ0dZF8B
108,That's What I Like,Bruno Mars,56,67034,28,0KKkJNfGyhkQ5aFogxQAPU
109,X,Nicky Jam,56,76674,1,39N9RPD9MRb5WmoLzNzPeA
110,Me Voy,Rombai,56,97150,7,22sESxzbY1O1E19xjOTaYf
111,Besos En Guerra,Morat,56,28297,104,1d0c62VFYauOOgxZ2eFUxx
112,Escápate Conmigo (feat. Ozuna),Wisin,56,96495,18,1KSqYYJFyfTecXFk9M0prc
113,She Don't Give a Fo,Duki,55,83886,26,03a359wbiUsjN9h6yzXvmS
114,Por Perro,Sebastian Yatra,55,97146,16,1XM5PgxjpYcF0JuE9nfUbS
115,Te Quiero Pa´Mi,Don Omar,55,78846,19,3BY2mafsbsoKGqS380Xnuz
116,Quiero Repetir,Ozuna,55,97260,12,0MIcPSq9n2z5H8TAfEstri
117,Gyal You A Party Animal - Remix,Charly Black,55,97919,12,1AkTW13ysu0AJrwuM6UY0I
118,Sin Culpa (feat. DrefQuila),Duki,55,99890,4,3dLiBBKbeUIhzGNeuo5JGS
119,Amanece,Anuel AA,55,92441,10,1LiN0Z98FkR1t0m8KmLcAH
120,Esperándote,Manuel Turizo,55,95609,22,1nfyE13arjOuO54HH0zmqj
121,Sigo Extrañándote,J Balvin,54,97789,12,0k23rRi1B8ZHrKtzECGoyk
122,Bonita,J Balvin,54,92350,3,693iqPOQvhI7PobtR8CC8v
123,No Me Acuerdo,Thalía,54,99265,14,00EPIEnX1JFjff8sC6bccd
124,Safari,J Balvin,54,97460,5,456xBIOmLRoLzCvCzZrWge
125,One Kiss (with Dua Lipa),Calvin Harris,54,46041,54,7ef4DlsgrMEH11cDZd32M6
126,Vete,KHEA,54,87193,14,2rZB6indPhp8C5AZK1PpkS
127,MIA (feat. Drake),Bad Bunny,53,90670,2,116H0KvKr2Zl4RPuVBruDO
128,Te Vi,Piso 21,53,99203,15,059bcIhyc2SBwm6sw2AZzd
129,Besándote,Piso 21,53,98060,15,13X0XdLMOdtbXVtAj2ox4h
130,Olha a Explosão,MC Kevinho,53,94208,8,6m2LNopVJKsvBB9l7Z1rwn
131,Puntos Suspensivos,Piso 21,53,98266,18,04cd1MHVq1D8v1nuTZoCdv
132,Loco Enamorado,Abraham Mateo,52,98191,16,4N1c5rmWOzRmB9SMacr5wB
133,Thunder,Imagine Dragons,52,30411,71,0tKcYR2II1VCQWT79i5NrW
134,We Don't Talk Anymore,Charlie Puth,52,25267,83,68EMU2RD1ECNeOeJ5qAXCV
135,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,52,79261,15,5knuzwU65gJK7IF5yJsuaW
136,Condenado Para el Millon,Paulo Londra,52,97628,29,5UjhWsB5rddZEPlNUcGDLV
