Position,Track Name,Artist,Streams,date,region,spotify_id
18,Cuatro Babys,Maluma,1055,2017-01-27,ni,0JoHqmlqE0W0i9prt6kcHR
19,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1049,2017-01-27,ni,6DNtNfH8hXkqOX1sjqmI7p
20,La Bicicleta,Carlos Vives,1046,2017-01-27,ni,0sXvAOmXgjR2QUqLK1MltU
21,Me Rehúso,Danny Ocean,1016,2017-01-27,ni,6De0lHrwBfPfrhorm9q1Xl
22,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,1010,2017-01-27,ni,6stYbAJgTszHAHZMPxWWCY
23,My Way,Calvin Harris,1009,2017-01-27,ni,1vvNmPOiUuyCbgWmtc6yfm
24,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,1005,2017-01-27,ni,17Fd6Yb7mSbinKG8LoWfFl
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,5308,2017-02-03,ni,4aWmUDTfIPGksMNLV2rQP2
2,Shape of You,Ed Sheeran,2903,2017-02-03,ni,7qiZfU4dY1lWllzX7mPBI3
3,Reggaetón Lento (Bailemos),CNCO,2231,2017-02-03,ni,3AEZUABDXNtecAOSC1qTfo
4,Chantaje (feat. Maluma),Shakira,2024,2017-02-03,ni,6mICuAdrwEjh6Y6lroV2Kg
5,Otra vez (feat. J Balvin),Zion & Lennox,1972,2017-02-03,ni,3QwBODjSEzelZyVjxPOHdq
6,Safari,J Balvin,1945,2017-02-03,ni,6rQSrBHf7HlZjtcMZ4S4bO
7,El Amante,Nicky Jam,1753,2017-02-03,ni,3umS4y3uQDkqekNjVpiRUs
8,Let Me Love You,DJ Snake,1665,2017-02-03,ni,4pdPtRcBmOSQDlJ3Fk945m
9,Closer (feat. Halsey),The Chainsmokers,1517,2017-02-03,ni,7BKLCZ1jbUBVqRi2FVlTVw
10,Paris,The Chainsmokers,1382,2017-02-03,ni,72jbDTw1piOOj770jWNeaG
11,Vente Pa' Ca,Ricky Martin,1260,2017-02-03,ni,7DM4BPaS7uofFul3ywMe46
12,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1246,2017-02-03,ni,3NdDpSvN911VPGivFlV5d0
13,Vacaciones,Wisin,1211,2017-02-03,ni,3dQDid3IUNhZy1OehIfYfE
14,Me Rehúso,Danny Ocean,1206,2017-02-03,ni,6De0lHrwBfPfrhorm9q1Xl
15,Starboy,The Weeknd,1191,2017-02-03,ni,5aAx2yezTd8zXrkmtKl66Z
16,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,1153,2017-02-03,ni,6stYbAJgTszHAHZMPxWWCY
17,Don't Wanna Know,Maroon 5,1139,2017-02-03,ni,5MFzQMkrl1FOOng9tq6R9r
18,La Bicicleta,Carlos Vives,1138,2017-02-03,ni,0sXvAOmXgjR2QUqLK1MltU
19,One Dance,Drake,1131,2017-02-03,ni,1xznGGDReH1oQq0xzbwXa3
20,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1124,2017-02-03,ni,5knuzwU65gJK7IF5yJsuaW
21,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1062,2017-02-03,ni,6DNtNfH8hXkqOX1sjqmI7p
22,In the Name of Love,Martin Garrix,1049,2017-02-03,ni,04DwTuZ2VBdJCCC5TROn7L
23,Dile Que Tu Me Quieres,Ozuna,1026,2017-02-03,ni,20ZAJdsKB5IGbGj4ilRt2o
24,Chillax (feat. Ky-Mani Marley),Farruko,1011,2017-02-03,ni,1lxswgIpzV6HhENRvkflES
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,5383,2017-02-10,ni,4aWmUDTfIPGksMNLV2rQP2
2,Shape of You,Ed Sheeran,3026,2017-02-10,ni,7qiZfU4dY1lWllzX7mPBI3
3,Reggaetón Lento (Bailemos),CNCO,2225,2017-02-10,ni,3AEZUABDXNtecAOSC1qTfo
4,El Amante,Nicky Jam,2125,2017-02-10,ni,3umS4y3uQDkqekNjVpiRUs
5,Chantaje (feat. Maluma),Shakira,2044,2017-02-10,ni,6mICuAdrwEjh6Y6lroV2Kg
6,Otra vez (feat. J Balvin),Zion & Lennox,1960,2017-02-10,ni,3QwBODjSEzelZyVjxPOHdq
7,Safari,J Balvin,1849,2017-02-10,ni,6rQSrBHf7HlZjtcMZ4S4bO
8,Closer (feat. Halsey),The Chainsmokers,1593,2017-02-10,ni,7BKLCZ1jbUBVqRi2FVlTVw
9,Let Me Love You,DJ Snake,1584,2017-02-10,ni,4pdPtRcBmOSQDlJ3Fk945m
10,Paris,The Chainsmokers,1422,2017-02-10,ni,72jbDTw1piOOj770jWNeaG
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1366,2017-02-10,ni,3NdDpSvN911VPGivFlV5d0
12,Me Rehúso,Danny Ocean,1331,2017-02-10,ni,6De0lHrwBfPfrhorm9q1Xl
13,Vente Pa' Ca,Ricky Martin,1238,2017-02-10,ni,7DM4BPaS7uofFul3ywMe46
14,Vacaciones,Wisin,1215,2017-02-10,ni,3dQDid3IUNhZy1OehIfYfE
15,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1187,2017-02-10,ni,5knuzwU65gJK7IF5yJsuaW
16,Don't Wanna Know,Maroon 5,1165,2017-02-10,ni,5MFzQMkrl1FOOng9tq6R9r
17,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,1157,2017-02-10,ni,5q2JbCNi4FcnglgPfxcV65
18,One Dance,Drake,1149,2017-02-10,ni,1xznGGDReH1oQq0xzbwXa3
19,Starboy,The Weeknd,1141,2017-02-10,ni,5aAx2yezTd8zXrkmtKl66Z
20,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,1128,2017-02-10,ni,6stYbAJgTszHAHZMPxWWCY
21,Dile Que Tu Me Quieres,Ozuna,1079,2017-02-10,ni,20ZAJdsKB5IGbGj4ilRt2o
22,La Bicicleta,Carlos Vives,1068,2017-02-10,ni,0sXvAOmXgjR2QUqLK1MltU
23,Cuatro Babys,Maluma,1049,2017-02-10,ni,0JoHqmlqE0W0i9prt6kcHR
24,In the Name of Love,Martin Garrix,1021,2017-02-10,ni,04DwTuZ2VBdJCCC5TROn7L
25,My Way,Calvin Harris,1003,2017-02-10,ni,1vvNmPOiUuyCbgWmtc6yfm
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,5431,2017-02-17,ni,4aWmUDTfIPGksMNLV2rQP2
2,Shape of You,Ed Sheeran,3700,2017-02-17,ni,7qiZfU4dY1lWllzX7mPBI3
3,El Amante,Nicky Jam,2308,2017-02-17,ni,3umS4y3uQDkqekNjVpiRUs
4,Reggaetón Lento (Bailemos),CNCO,2269,2017-02-17,ni,3AEZUABDXNtecAOSC1qTfo
5,Chantaje (feat. Maluma),Shakira,2005,2017-02-17,ni,6mICuAdrwEjh6Y6lroV2Kg
6,Otra vez (feat. J Balvin),Zion & Lennox,1946,2017-02-17,ni,3QwBODjSEzelZyVjxPOHdq
7,Safari,J Balvin,1812,2017-02-17,ni,6rQSrBHf7HlZjtcMZ4S4bO
8,Let Me Love You,DJ Snake,1735,2017-02-17,ni,4pdPtRcBmOSQDlJ3Fk945m
9,Closer (feat. Halsey),The Chainsmokers,1656,2017-02-17,ni,7BKLCZ1jbUBVqRi2FVlTVw
10,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1545,2017-02-17,ni,3NdDpSvN911VPGivFlV5d0
11,Paris,The Chainsmokers,1503,2017-02-17,ni,72jbDTw1piOOj770jWNeaG
12,Me Rehúso,Danny Ocean,1450,2017-02-17,ni,6De0lHrwBfPfrhorm9q1Xl
13,Vente Pa' Ca,Ricky Martin,1333,2017-02-17,ni,7DM4BPaS7uofFul3ywMe46
