Position,Track Name,Artist,Streams,date,region,spotify_id
10,Say You Won't Let Go,James Arthur,1387,2017-01-27,mt,5uCax9HTNlzGybIStD3vDh
11,All Time Low,Jon Bellion,1303,2017-01-27,mt,1CnPYaKxTVb4LWOtiGOm0m
12,Closer (feat. Halsey),The Chainsmokers,1285,2017-01-27,mt,7BKLCZ1jbUBVqRi2FVlTVw
13,Don't Wanna Know,Maroon 5,1271,2017-01-27,mt,5MFzQMkrl1FOOng9tq6R9r
14,Bad Things (with Camila Cabello),Machine Gun Kelly,1266,2017-01-27,mt,1PSBzsahR2AKwLJgx8ehBj
15,"How Far I'll Go - From ""Moana""",Alessia Cara,1260,2017-01-27,mt,5hYTyyh2odQKphUbMqc5gN
16,All Night,The Vamps,1203,2017-01-27,mt,1yNyoWWWikbLhwIGWjZuDW
17,Weak,AJR,1170,2017-01-27,mt,3E2Zh20GDCR9B1EYjfXWyv
18,Shed a Light,Robin Schulz,1075,2017-01-27,mt,1cG0umU5TKStygKsPFZ9pY
19,Now and Later,Sage The Gemini,1058,2017-01-27,mt,43jBqV3j3Xi1g6wO0bhIMd
20,Solo Dance,Martin Jensen,1031,2017-01-27,mt,6HUnnBwYZqcED1eQztxMBN
21,Fake Love,Drake,1014,2017-01-27,mt,343YBumqHu19cGoGARUTsd
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,5038,2017-02-03,mt,7qiZfU4dY1lWllzX7mPBI3
2,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2714,2017-02-03,mt,3NdDpSvN911VPGivFlV5d0
3,Paris,The Chainsmokers,2695,2017-02-03,mt,72jbDTw1piOOj770jWNeaG
4,Castle on the Hill,Ed Sheeran,2361,2017-02-03,mt,6PCUP3dWmTjcTtXY02oFdT
5,Scared to Be Lonely,Martin Garrix,2136,2017-02-03,mt,3ebXMykcMXOcLeJ9xZ17XH
6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1993,2017-02-03,mt,5knuzwU65gJK7IF5yJsuaW
7,Call On Me - Ryan Riback Extended Remix,Starley,1887,2017-02-03,mt,78rIJddV4X0HkNAInEcYde
8,I Feel It Coming,The Weeknd,1761,2017-02-03,mt,5GXAXm5YOmYT0kL5jHvYBt
9,Starboy,The Weeknd,1615,2017-02-03,mt,5aAx2yezTd8zXrkmtKl66Z
10,Just Hold On,Steve Aoki,1559,2017-02-03,mt,3EmmCZoqpWOTY1g2GBwJoR
11,Say You Won't Let Go,James Arthur,1454,2017-02-03,mt,5uCax9HTNlzGybIStD3vDh
12,All Night,The Vamps,1342,2017-02-03,mt,1yNyoWWWikbLhwIGWjZuDW
13,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,1323,2017-02-03,mt,0fg8CqpjdojMyXLNzM2PaJ
14,Bad Things (with Camila Cabello),Machine Gun Kelly,1318,2017-02-03,mt,1PSBzsahR2AKwLJgx8ehBj
15,All Time Low,Jon Bellion,1311,2017-02-03,mt,1CnPYaKxTVb4LWOtiGOm0m
16,Don't Wanna Know,Maroon 5,1305,2017-02-03,mt,5MFzQMkrl1FOOng9tq6R9r
17,Weak,AJR,1252,2017-02-03,mt,3E2Zh20GDCR9B1EYjfXWyv
18,"How Far I'll Go - From ""Moana""",Alessia Cara,1248,2017-02-03,mt,5hYTyyh2odQKphUbMqc5gN
19,Closer (feat. Halsey),The Chainsmokers,1225,2017-02-03,mt,7BKLCZ1jbUBVqRi2FVlTVw
20,Solo Dance,Martin Jensen,1174,2017-02-03,mt,6HUnnBwYZqcED1eQztxMBN
21,Issues,Julia Michaels,1141,2017-02-03,mt,1sXUWdKx03aP9Gmzft58rt
22,Despacito (Featuring Daddy Yankee),Luis Fonsi,1109,2017-02-03,mt,4aWmUDTfIPGksMNLV2rQP2
23,Now and Later,Sage The Gemini,1097,2017-02-03,mt,43jBqV3j3Xi1g6wO0bhIMd
24,Shed a Light,Robin Schulz,1083,2017-02-03,mt,1cG0umU5TKStygKsPFZ9pY
25,Don't Leave,Snakehips,1079,2017-02-03,mt,0Zx8khUcEfCFK2AEoIhC92
26,Chantaje (feat. Maluma),Shakira,1001,2017-02-03,mt,6mICuAdrwEjh6Y6lroV2Kg
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,4414,2017-02-10,mt,7qiZfU4dY1lWllzX7mPBI3
2,Paris,The Chainsmokers,2538,2017-02-10,mt,72jbDTw1piOOj770jWNeaG
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2404,2017-02-10,mt,3NdDpSvN911VPGivFlV5d0
4,Scared to Be Lonely,Martin Garrix,2208,2017-02-10,mt,3ebXMykcMXOcLeJ9xZ17XH
5,Castle on the Hill,Ed Sheeran,1860,2017-02-10,mt,6PCUP3dWmTjcTtXY02oFdT
6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1677,2017-02-10,mt,5knuzwU65gJK7IF5yJsuaW
7,Call On Me - Ryan Riback Extended Remix,Starley,1518,2017-02-10,mt,78rIJddV4X0HkNAInEcYde
8,Starboy,The Weeknd,1439,2017-02-10,mt,5aAx2yezTd8zXrkmtKl66Z
9,I Feel It Coming,The Weeknd,1432,2017-02-10,mt,5GXAXm5YOmYT0kL5jHvYBt
10,Chained To The Rhythm,Katy Perry,1383,2017-02-10,mt,6520aj0B4FSKGVuKNsOCOi
11,Just Hold On,Steve Aoki,1377,2017-02-10,mt,3EmmCZoqpWOTY1g2GBwJoR
12,Say You Won't Let Go,James Arthur,1367,2017-02-10,mt,5uCax9HTNlzGybIStD3vDh
13,Bad Things (with Camila Cabello),Machine Gun Kelly,1268,2017-02-10,mt,1PSBzsahR2AKwLJgx8ehBj
14,All Time Low,Jon Bellion,1251,2017-02-10,mt,1CnPYaKxTVb4LWOtiGOm0m
15,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,1232,2017-02-10,mt,0fg8CqpjdojMyXLNzM2PaJ
16,Issues,Julia Michaels,1220,2017-02-10,mt,1sXUWdKx03aP9Gmzft58rt
17,"How Far I'll Go - From ""Moana""",Alessia Cara,1163,2017-02-10,mt,5hYTyyh2odQKphUbMqc5gN
18,Closer (feat. Halsey),The Chainsmokers,1146,2017-02-10,mt,7BKLCZ1jbUBVqRi2FVlTVw
19,All Night,The Vamps,1138,2017-02-10,mt,1yNyoWWWikbLhwIGWjZuDW
20,Don't Wanna Know,Maroon 5,1125,2017-02-10,mt,5MFzQMkrl1FOOng9tq6R9r
21,Weak,AJR,1120,2017-02-10,mt,3E2Zh20GDCR9B1EYjfXWyv
22,Despacito (Featuring Daddy Yankee),Luis Fonsi,1110,2017-02-10,mt,4aWmUDTfIPGksMNLV2rQP2
23,You Don't Know Me - Radio Edit,Jax Jones,1085,2017-02-10,mt,00lNx0OcTJrS3MKHcB80HY
24,Solo Dance,Martin Jensen,1053,2017-02-10,mt,6HUnnBwYZqcED1eQztxMBN
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,4617,2017-02-17,mt,7qiZfU4dY1lWllzX7mPBI3
2,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2636,2017-02-17,mt,3NdDpSvN911VPGivFlV5d0
3,Paris,The Chainsmokers,2498,2017-02-17,mt,72jbDTw1piOOj770jWNeaG
4,Scared to Be Lonely,Martin Garrix,2376,2017-02-17,mt,3ebXMykcMXOcLeJ9xZ17XH
5,Chained To The Rhythm,Katy Perry,2057,2017-02-17,mt,6520aj0B4FSKGVuKNsOCOi
6,Castle on the Hill,Ed Sheeran,1991,2017-02-17,mt,6PCUP3dWmTjcTtXY02oFdT
7,It Ain't Me (with Selena Gomez),Kygo,1910,2017-02-17,mt,3eR23VReFzcdmS7TYCrhCe
8,Call On Me - Ryan Riback Extended Remix,Starley,1722,2017-02-17,mt,78rIJddV4X0HkNAInEcYde
9,Issues,Julia Michaels,1604,2017-02-17,mt,1sXUWdKx03aP9Gmzft58rt
10,I Feel It Coming,The Weeknd,1593,2017-02-17,mt,5GXAXm5YOmYT0kL5jHvYBt
11,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1494,2017-02-17,mt,5knuzwU65gJK7IF5yJsuaW
12,Starboy,The Weeknd,1389,2017-02-17,mt,5aAx2yezTd8zXrkmtKl66Z
13,Just Hold On,Steve Aoki,1384,2017-02-17,mt,3EmmCZoqpWOTY1g2GBwJoR
14,Say You Won't Let Go,James Arthur,1330,2017-02-17,mt,5uCax9HTNlzGybIStD3vDh
15,Despacito (Featuring Daddy Yankee),Luis Fonsi,1235,2017-02-17,mt,4aWmUDTfIPGksMNLV2rQP2
16,"How Far I'll Go - From ""Moana""",Alessia Cara,1201,2017-02-17,mt,5hYTyyh2odQKphUbMqc5gN
17,All Night,The Vamps,1200,2017-02-17,mt,1yNyoWWWikbLhwIGWjZuDW
18,All Time Low,Jon Bellion,1190,2017-02-17,mt,1CnPYaKxTVb4LWOtiGOm0m
19,Believer,Imagine Dragons,1186,2017-02-17,mt,0CcQNd8CINkwQfe1RDtGV6
20,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,1173,2017-02-17,mt,0fg8CqpjdojMyXLNzM2PaJ
21,Shed a Light,Robin Schulz,1156,2017-02-17,mt,1cG0umU5TKStygKsPFZ9pY
22,Bad Things (with Camila Cabello),Machine Gun Kelly,1145,2017-02-17,mt,1PSBzsahR2AKwLJgx8ehBj
23,Solo Dance,Martin Jensen,1140,2017-02-17,mt,6HUnnBwYZqcED1eQztxMBN
24,You Don't Know Me - Radio Edit,Jax Jones,1113,2017-02-17,mt,00lNx0OcTJrS3MKHcB80HY
25,How Would You Feel (Paean),Ed Sheeran,1107,2017-02-17,mt,6PJ8FF6UR8FZXfEvpHkIVN
26,Weak,AJR,1097,2017-02-17,mt,3E2Zh20GDCR9B1EYjfXWyv
