position,track name,artist,streams,region,date,spotify_id
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
NA,NA,NA,NA,cy,2017-03-03,NA
