Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,4446,2017-03-10,lu,7qiZfU4dY1lWllzX7mPBI3
2,It Ain't Me (with Selena Gomez),Kygo,2139,2017-03-10,lu,3eR23VReFzcdmS7TYCrhCe
3,Something Just Like This,The Chainsmokers,2072,2017-03-10,lu,6RUKPb4LETWmmr3iAEQktW
4,Galway Girl,Ed Sheeran,1921,2017-03-10,lu,0afhq8XCExXpqazXczTSve
5,Paris,The Chainsmokers,1894,2017-03-10,lu,72jbDTw1piOOj770jWNeaG
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1814,2017-03-10,lu,3NdDpSvN911VPGivFlV5d0
7,Castle on the Hill,Ed Sheeran,1779,2017-03-10,lu,6PCUP3dWmTjcTtXY02oFdT
8,Scared to Be Lonely,Martin Garrix,1593,2017-03-10,lu,3ebXMykcMXOcLeJ9xZ17XH
9,Despacito (Featuring Daddy Yankee),Luis Fonsi,1567,2017-03-10,lu,4aWmUDTfIPGksMNLV2rQP2
10,Call On Me - Ryan Riback Extended Remix,Starley,1436,2017-03-10,lu,78rIJddV4X0HkNAInEcYde
11,Issues,Julia Michaels,1345,2017-03-10,lu,1sXUWdKx03aP9Gmzft58rt
12,Stay (with Alessia Cara),Zedd,1334,2017-03-10,lu,0dA2Mk56wEzDgegdC6R17g
13,Cold,Maroon 5,1314,2017-03-10,lu,5NNlUMcOEOdoOIwwaWXv0k
14,Chained To The Rhythm,Katy Perry,1284,2017-03-10,lu,6520aj0B4FSKGVuKNsOCOi
15,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,1267,2017-03-10,lu,0fg8CqpjdojMyXLNzM2PaJ
16,Solo Dance,Martin Jensen,1218,2017-03-10,lu,6HUnnBwYZqcED1eQztxMBN
17,Believer,Imagine Dragons,1177,2017-03-10,lu,0CcQNd8CINkwQfe1RDtGV6
18,Mask Off,Future,1138,2017-03-10,lu,3rOSwuTsUlJp0Pu0MkN8r8
19,I Feel It Coming,The Weeknd,1077,2017-03-10,lu,5GXAXm5YOmYT0kL5jHvYBt
20,Perfect,Ed Sheeran,1065,2017-03-10,lu,0tgVpDi06FyKpA1z0VMD4v
21,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1042,2017-03-10,lu,5knuzwU65gJK7IF5yJsuaW
22,Slide (feat. Frank Ocean & Migos),Calvin Harris,1035,2017-03-10,lu,7tr2za8SQg2CI8EDgrdtNl
23,Happier,Ed Sheeran,1018,2017-03-10,lu,2RttW7RAu5nOAfq6YFvApB
24,That's What I Like,Bruno Mars,1018,2017-03-10,lu,0KKkJNfGyhkQ5aFogxQAPU
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,3837,2017-03-17,lu,7qiZfU4dY1lWllzX7mPBI3
2,It Ain't Me (with Selena Gomez),Kygo,2010,2017-03-17,lu,3eR23VReFzcdmS7TYCrhCe
3,Something Just Like This,The Chainsmokers,1902,2017-03-17,lu,6RUKPb4LETWmmr3iAEQktW
4,Galway Girl,Ed Sheeran,1879,2017-03-17,lu,0afhq8XCExXpqazXczTSve
5,Despacito (Featuring Daddy Yankee),Luis Fonsi,1773,2017-03-17,lu,4aWmUDTfIPGksMNLV2rQP2
6,Paris,The Chainsmokers,1644,2017-03-17,lu,72jbDTw1piOOj770jWNeaG
7,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1628,2017-03-17,lu,3NdDpSvN911VPGivFlV5d0
8,Mask Off,Future,1547,2017-03-17,lu,3rOSwuTsUlJp0Pu0MkN8r8
9,Castle on the Hill,Ed Sheeran,1437,2017-03-17,lu,6PCUP3dWmTjcTtXY02oFdT
10,Stay (with Alessia Cara),Zedd,1422,2017-03-17,lu,0dA2Mk56wEzDgegdC6R17g
11,Call On Me - Ryan Riback Extended Remix,Starley,1405,2017-03-17,lu,78rIJddV4X0HkNAInEcYde
12,Scared to Be Lonely,Martin Garrix,1351,2017-03-17,lu,3ebXMykcMXOcLeJ9xZ17XH
13,Issues,Julia Michaels,1301,2017-03-17,lu,1sXUWdKx03aP9Gmzft58rt
