Position,Track Name,Artist,Streams,date,region,spotify_id
83,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,1376,2017-01-06,py,4tCtwWceOPWzenK2HAIJSb
84,Shed a Light,Robin Schulz,1374,2017-01-06,py,1cG0umU5TKStygKsPFZ9pY
85,Sin Contrato,Maluma,1373,2017-01-06,py,09S64DUkxIX9EwIaULu6yN
86,De Pies A Cabeza,Maná,1362,2017-01-06,py,2CkHE54EH44Qj945ynQRw7
87,Nunca Me Olvides,Yandel,1352,2017-01-06,py,27ebni0DfbT5Owz6W42HP8
88,Sin Contrato - Remix,Maluma,1351,2017-01-06,py,2xNZeeqmwMPVKnD7FSQfgt
89,Call On Me - Ryan Riback Extended Remix,Starley,1340,2017-01-06,py,78rIJddV4X0HkNAInEcYde
90,Cake By The Ocean,DNCE,1328,2017-01-06,py,2aFiaMXmWsM3Vj72F9ksBl
91,Mercy,Shawn Mendes,1324,2017-01-06,py,4TZy1wLyHec06pwgFYDh1a
92,By Your Side,Jonas Blue,1309,2017-01-06,py,1D3ODoXHBLpdxolZRHWV1j
93,Si Ella Quisiera - Remix,Justin Quiles,1308,2017-01-06,py,0A2h9QjoPdbVwa9LFiijqM
94,La Gozadera,Gente De Zona,1294,2017-01-06,py,0OMRAvrtLWE2TvcXorRiB9
95,Carnavalintro,CHANO,1292,2017-01-06,py,0tGAPnTFwRJA6FZgYZ0BAe
96,The Greatest (feat. Kendrick Lamar),Sia,1287,2017-01-06,py,7xHWNBFm6ObGEQPaUxHuKO
97,Acércate (feat. Nicky Jam) - Remix,De La Ghetto,1262,2017-01-06,py,35OC6rMxa8lJi8eDiUVShS
98,Baila Conmigo,Juan Magán,1252,2017-01-06,py,772io14jrMTxGJbijtDccQ
99,Hasta el Amanecer,Nicky Jam,1251,2017-01-06,py,5Fim1gaXBgsiFfsQAfQSDS
100,Si ella quisiera,Justin Quiles,1235,2017-01-06,py,7cIkMEpDhT7Vpw1FHOQqKC
101,Ana Lucia,Kchiporros,1214,2017-01-06,py,4AfMrCnsJxdT5WUJVrAOhv
102,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,Kungs,1193,2017-01-06,py,0tICYNayWWhH9GPeFrfjfD
103,Starving,Hailee Steinfeld,1186,2017-01-06,py,1qOLh0tI7trd1zdDKxYZTe
104,Alone,Alan Walker,1181,2017-01-06,py,0JiVRyTJcJnmlwCZ854K4p
105,Cuando Se Pone a Bailar,Rombai,1163,2017-01-06,py,1MpKZi1zTXpERKwxmOu1PH
106,Say You Won't Let Go,James Arthur,1146,2017-01-06,py,5uCax9HTNlzGybIStD3vDh
107,The Greatest,Sia,1143,2017-01-06,py,6bLopGnirdrilrpdVB6Um1
108,"La Ocasion (feat. Arcangel, Ozuna & Anuel Aa)",De La Ghetto,1138,2017-01-06,py,498YWgZPJWIA4lphXtCNma
109,El Perdedor,Maluma,1123,2017-01-06,py,1iEwyiSLAunPR6uouANE0O
110,Amor y dolor,Carlos Baute,1122,2017-01-06,py,4efQTJSX6Jca1hHZNi74Zd
111,Qué Gano Olvidándote (feat. Zion & Lennox) - Versión Urbana,Reik,1104,2017-01-06,py,3H179O48ynsu9q8LOnFQZY
112,Na Ponta Ela Fica,Delano,1102,2017-01-06,py,1OtZIaJBXo3Pe6nfaMsjKT
113,Me Reclama,Mambo Kingz,1101,2017-01-06,py,4ojwGTehgBRAg52jbFgzJg
114,Cada Dia (feat. Emiliano Brancciari),Kchiporros,1096,2017-01-06,py,2sJskZyQdcEjwTYjMLrN00
115,Perfect Strangers,Jonas Blue,1088,2017-01-06,py,1CUVN2kn7mW5FjkqXTR2W1
116,Ando buscando (feat. Piso 21),Carlos Baute,1088,2017-01-06,py,7BwJtE8KSbCQKOCTIAY3jX
117,Sexy Lady,Japiaguar,1077,2017-01-06,py,1agufzwnjHgd8MMJzHM1Lz
118,Ya Me Enteré,Reik,1044,2017-01-06,py,0lPXFrKyl8HkdQ2E6NmNja
119,Los Ojos Rojos,Kchiporros,1038,2017-01-06,py,7vMFWn8jkzI1rMtu2GiDPp
120,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,1037,2017-01-06,py,0L7loeTIg6akW84aEQZpCT
121,Vai Toma,Mc Pikachu,1034,2017-01-06,py,0YAgtA9FguNwDokj8KE1jy
122,The Scientist,Coldplay,1034,2017-01-06,py,75JFxkI2RXiU7L9VXzMkle
123,Fake Love,Drake,1031,2017-01-06,py,343YBumqHu19cGoGARUTsd
124,Love Yourself,Justin Bieber,1031,2017-01-06,py,3hB5DgAiMAQ4DzYbsMq1IT
125,El Sistema Solar,Kchiporros,1027,2017-01-06,py,27N0GvMFVrFjEW1idY2UUc
126,Panda,Desiigner,1016,2017-01-06,py,5OOkp4U9P9oL23maHFHL1h
127,Hasta Que Se Seque el Malecón - Remix,Jacob Forever,1010,2017-01-06,py,6sMPwcpYtxm1mlgYbp1B0t
128,Sorry,Justin Bieber,1007,2017-01-06,py,69bp2EbF7Q2rqc5N3ylezZ
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Reggaetón Lento (Bailemos),CNCO,11143,2017-01-13,py,3AEZUABDXNtecAOSC1qTfo
2,Chantaje (feat. Maluma),Shakira,10027,2017-01-13,py,6mICuAdrwEjh6Y6lroV2Kg
3,Deu Onda,MC G15,9550,2017-01-13,py,0EPxmvsG1BY5td4aTOkWBF
4,Otra vez (feat. J Balvin),Zion & Lennox,9278,2017-01-13,py,3QwBODjSEzelZyVjxPOHdq
5,Safari,J Balvin,8987,2017-01-13,py,6rQSrBHf7HlZjtcMZ4S4bO
6,Vacaciones,Wisin,7301,2017-01-13,py,3dQDid3IUNhZy1OehIfYfE
7,Vente Pa' Ca,Ricky Martin,6867,2017-01-13,py,7DM4BPaS7uofFul3ywMe46
8,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,6339,2017-01-13,py,6stYbAJgTszHAHZMPxWWCY
9,Dile Que Tu Me Quieres,Ozuna,6337,2017-01-13,py,20ZAJdsKB5IGbGj4ilRt2o
10,Shape of You,Ed Sheeran,5876,2017-01-13,py,7qiZfU4dY1lWllzX7mPBI3
11,Let Me Love You,DJ Snake,5596,2017-01-13,py,4pdPtRcBmOSQDlJ3Fk945m
12,Me Llamas (feat. Maluma) - Remix,Piso 21,5210,2017-01-13,py,5hEM0JchdVzQ5PwvSfITeX
13,Cuatro Babys,Maluma,5086,2017-01-13,py,0JoHqmlqE0W0i9prt6kcHR
14,Closer (feat. Halsey),The Chainsmokers,5024,2017-01-13,py,7BKLCZ1jbUBVqRi2FVlTVw
15,Traicionera,Sebastian Yatra,4981,2017-01-13,py,5J1c3M4EldCfNxXwrwt8mT
16,Bailame Despacio,Xantos,4761,2017-01-13,py,4OaTpLJIa2harufGxfOPUu
17,Gyal You A Party Animal - Remix,Charly Black,4728,2017-01-13,py,1AkTW13ysu0AJrwuM6UY0I
18,Te Quiero Pa´Mi,Don Omar,4616,2017-01-13,py,3BY2mafsbsoKGqS380Xnuz
19,Don't Wanna Know,Maroon 5,4597,2017-01-13,py,5MFzQMkrl1FOOng9tq6R9r
20,Me Rehúso,Danny Ocean,4486,2017-01-13,py,6De0lHrwBfPfrhorm9q1Xl
21,Malandramente,Dennis DJ,4228,2017-01-13,py,7DRP2VOMpy1rrk3iYFLCW9
22,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,4216,2017-01-13,py,5knuzwU65gJK7IF5yJsuaW
23,Starboy,The Weeknd,4199,2017-01-13,py,5aAx2yezTd8zXrkmtKl66Z
24,No Quiere Enamorarse (Remix) [feat. Daddy Yankee],Ozuna,4097,2017-01-13,py,4vlbjBSMqycZk6t4HVRpnC
